Source,Target
Anchorage and moorings: Construction,"Synthetic compound contamination (incl. pesticides, antifoulants, pharmaceuticals).  Includes those priority substances listed in Annex II of Directive 2008/105/EC."
Anchorage and moorings: Construction,"Introduction of other substances (solid, liquid or gas)"
Anchorage and moorings: Construction,Nutrient enrichment
Anchorage and moorings: Construction,Deoxygenation
Habitat creation,Visual disturbance
Habitat creation,Introduction or spread of invasive non-indigenous species (INIS)
Habitat creation,"Penetration and/or disturbance of the substrate below the surface of the seabed, including abrasion"
Habitat creation,Changes in suspended solids (water clarity)
Habitat creation,Smothering and siltation rate changes (Heavy)
Habitat creation,Smothering and siltation rate changes (Light)
Habitat creation,Abrasion/disturbance of the substrate on the surface of the seabed
Habitat creation,"Water flow (tidal current) changes, including sediment transport considerations"
Habitat creation,Wave exposure changes
Habitat creation,Physical change (to another seabed type)
Habitat creation,Physical change (to another sediment type)
Habitat creation,Underwater noise changes
Habitat creation,Introduction of light
Habitat creation,Barrier to species movement
Habitat creation,"Collision ABOVE water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Habitat creation,Above water noise
Habitat creation,Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Wave: Construction,Vibration
Habitat creation,Hydrocarbon & PAH contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Wave: Construction,"Penetration and/or disturbance of the substrate below the surface of the seabed, including abrasion"
Wave: Construction,Changes in suspended solids (water clarity)
Wave: Construction,Smothering and siltation rate changes (Light)
Wave: Construction,Abrasion/disturbance of the substrate on the surface of the seabed
Wave: Construction,Physical loss (to land or freshwater habitat)
Wave: Construction,Physical change (to another seabed type)
Wave: Construction,Physical change (to another sediment type)
Wave: Construction,Litter
Wave: Construction,Underwater noise changes
Wave: Construction,Introduction of light
Wave: Construction,Barrier to species movement
Wave: Construction,"Collision ABOVE water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Wave: Construction,"Collision BELOW water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Wave: Construction,Above water noise
Vessel anchorages,Physical change (to another sediment type)
Wave: Construction,Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Wave: Construction,Hydrocarbon & PAH contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Habitat creation,"Synthetic compound contamination (incl. pesticides, antifoulants, pharmaceuticals).  Includes those priority substances listed in Annex II of Directive 2008/105/EC."
Habitat creation,"Introduction of other substances (solid, liquid or gas)"
Habitat creation,Nutrient enrichment
Habitat creation,Organic enrichment
Habitat creation,Deoxygenation
Vessel anchorages,Smothering and siltation rate changes (Light)
Vessel anchorages,Abrasion/disturbance of the substrate on the surface of the seabed
Vessel anchorages,Visual disturbance
Vessel anchorages,Introduction or spread of invasive non-indigenous species (INIS)
Vessel anchorages,"Penetration and/or disturbance of the substrate below the surface of the seabed, including abrasion"
Vessel anchorages,Changes in suspended solids (water clarity)
Vessel anchorages,Litter
Vessel anchorages,Underwater noise changes
Vessel anchorages,Introduction of light
Vessel anchorages,"Collision ABOVE water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Vessel anchorages,"Collision BELOW water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Vessel anchorages,Above water noise
Vessel anchorages,Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Vessel anchorages,Hydrocarbon & PAH contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Vessel anchorages,"Synthetic compound contamination (incl. pesticides, antifoulants, pharmaceuticals).  Includes those priority substances listed in Annex II of Directive 2008/105/EC."
Vessel moorings,Physical change (to another sediment type)
Vessel moorings,Litter
Vessel moorings,Underwater noise changes
Vessel moorings,Introduction of light
Vessel moorings,"Collision ABOVE water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Vessel moorings,"Collision BELOW water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Vessel moorings,Above water noise
Vessel moorings,Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Vessel moorings,Hydrocarbon & PAH contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Vessel moorings,"Synthetic compound contamination (incl. pesticides, antifoulants, pharmaceuticals).  Includes those priority substances listed in Annex II of Directive 2008/105/EC."
Vessel moorings,"Introduction of other substances (solid, liquid or gas)"
Wave: Operation and maintenance,Litter
Wave: Construction,Visual disturbance
Wave: Construction,Introduction or spread of invasive non-indigenous species (INIS)
Wave: Construction,Habitat structure changes - removal of substratum (extraction)
Wave: Construction,"Synthetic compound contamination (incl. pesticides, antifoulants, pharmaceuticals).  Includes those priority substances listed in Annex II of Directive 2008/105/EC."
Wave: Construction,"Introduction of other substances (solid, liquid or gas)"
Wave: Operation and maintenance,Visual disturbance
Wave: Operation and maintenance,Introduction or spread of invasive non-indigenous species (INIS)
Wave: Operation and maintenance,"Penetration and/or disturbance of the substrate below the surface of the seabed, including abrasion"
Wave: Operation and maintenance,Smothering and siltation rate changes (Light)
Wave: Operation and maintenance,Abrasion/disturbance of the substrate on the surface of the seabed
Wave: Operation and maintenance,"Water flow (tidal current) changes, including sediment transport considerations"
Wave: Operation and maintenance,"Emergence regime changes, including tidal level change considerations"
Wave: Operation and maintenance,Wave exposure changes
Offshore wind: Construction (if relevant see also Cables),Physical change (to another sediment type)
Wave: Operation and maintenance,Underwater noise changes
Wave: Operation and maintenance,Introduction of light
Wave: Operation and maintenance,Barrier to species movement
Wave: Operation and maintenance,"Collision ABOVE water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Wave: Operation and maintenance,"Collision BELOW water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Wave: Operation and maintenance,Above water noise
Wave: Operation and maintenance,Vibration
Wave: Decommissioning,Underwater noise changes
Wave: Operation and maintenance,Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Wave: Operation and maintenance,Hydrocarbon & PAH contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Wave: Operation and maintenance,"Synthetic compound contamination (incl. pesticides, antifoulants, pharmaceuticals).  Includes those priority substances listed in Annex II of Directive 2008/105/EC."
Wave: Operation and maintenance,"Introduction of other substances (solid, liquid or gas)"
Wave: Decommissioning,Visual disturbance
Wave: Decommissioning,Introduction or spread of invasive non-indigenous species (INIS)
Wave: Decommissioning,Habitat structure changes - removal of substratum (extraction)
Wave: Decommissioning,"Penetration and/or disturbance of the substrate below the surface of the seabed, including abrasion"
Wave: Decommissioning,Changes in suspended solids (water clarity)
Wave: Decommissioning,Smothering and siltation rate changes (Heavy)
Wave: Decommissioning,Smothering and siltation rate changes (Light)
Wave: Decommissioning,Abrasion/disturbance of the substrate on the surface of the seabed
Wave: Decommissioning,"Water flow (tidal current) changes, including sediment transport considerations"
Wave: Decommissioning,Physical loss (to land or freshwater habitat)
Wave: Decommissioning,Physical change (to another seabed type)
Wave: Decommissioning,Physical change (to another sediment type)
Wave: Decommissioning,Litter
Wave: Decommissioning,Introduction of light
Wave: Decommissioning,"Collision ABOVE water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Wave: Decommissioning,"Collision BELOW water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Wave: Decommissioning,Above water noise
Wave: Decommissioning,Vibration
Wave: Decommissioning,Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Offshore wind: Operation and maintenance (if relevant see also Cables),"Introduction of other substances (solid, liquid or gas)"
Wave: Decommissioning,Hydrocarbon & PAH contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Wave: Decommissioning,"Synthetic compound contamination (incl. pesticides, antifoulants, pharmaceuticals).  Includes those priority substances listed in Annex II of Directive 2008/105/EC."
Wave: Decommissioning,"Introduction of other substances (solid, liquid or gas)"
Offshore wind: Construction (if relevant see also Cables),Visual disturbance
Offshore wind: Construction (if relevant see also Cables),Introduction or spread of invasive non-indigenous species (INIS)
Offshore wind: Construction (if relevant see also Cables),Habitat structure changes - removal of substratum (extraction)
Offshore wind: Construction (if relevant see also Cables),Physical change (to another seabed type)
Offshore wind: Construction (if relevant see also Cables),"Penetration and/or disturbance of the substrate below the surface of the seabed, including abrasion"
Offshore wind: Construction (if relevant see also Cables),Changes in suspended solids (water clarity)
Offshore wind: Construction (if relevant see also Cables),Smothering and siltation rate changes (Heavy)
Offshore wind: Construction (if relevant see also Cables),Smothering and siltation rate changes (Light)
Offshore wind: Construction (if relevant see also Cables),Abrasion/disturbance of the substrate on the surface of the seabed
Offshore wind: Construction (if relevant see also Cables),"Water flow (tidal current) changes, including sediment transport considerations"
Offshore wind: Construction (if relevant see also Cables),Physical loss (to land or freshwater habitat)
Offshore wind: Construction (if relevant see also Cables),Litter
Offshore wind: Construction (if relevant see also Cables),Underwater noise changes
Offshore wind: Construction (if relevant see also Cables),Introduction of light
Offshore wind: Construction (if relevant see also Cables),Barrier to species movement
Offshore wind: Construction (if relevant see also Cables),"Collision ABOVE water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Offshore wind: Decommissioning (if relevant see also Cables),Visual disturbance
Offshore wind: Construction (if relevant see also Cables),"Collision BELOW water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Offshore wind: Construction (if relevant see also Cables),Above water noise
Offshore wind: Construction (if relevant see also Cables),Vibration
Offshore wind: Construction (if relevant see also Cables),Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Offshore wind: Construction (if relevant see also Cables),Hydrocarbon & PAH contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Offshore wind: Decommissioning (if relevant see also Cables),Physical change (to another sediment type)
Offshore wind: Construction (if relevant see also Cables),"Synthetic compound contamination (incl. pesticides, antifoulants, pharmaceuticals).  Includes those priority substances listed in Annex II of Directive 2008/105/EC."
Offshore wind: Construction (if relevant see also Cables),"Introduction of other substances (solid, liquid or gas)"
Offshore wind: Operation and maintenance (if relevant see also Cables),Visual disturbance
Offshore wind: Operation and maintenance (if relevant see also Cables),Introduction or spread of invasive non-indigenous species (INIS)
Offshore wind: Operation and maintenance (if relevant see also Cables),Habitat structure changes - removal of substratum (extraction)
Offshore wind: Operation and maintenance (if relevant see also Cables),"Penetration and/or disturbance of the substrate below the surface of the seabed, including abrasion"
Offshore wind: Operation and maintenance (if relevant see also Cables),Changes in suspended solids (water clarity)
Offshore wind: Operation and maintenance (if relevant see also Cables),Smothering and siltation rate changes (Heavy)
Offshore wind: Operation and maintenance (if relevant see also Cables),Smothering and siltation rate changes (Light)
Offshore wind: Operation and maintenance (if relevant see also Cables),Abrasion/disturbance of the substrate on the surface of the seabed
Offshore wind: Operation and maintenance (if relevant see also Cables),"Water flow (tidal current) changes, including sediment transport considerations"
Offshore wind: Operation and maintenance (if relevant see also Cables),Wave exposure changes
Offshore wind: Operation and maintenance (if relevant see also Cables),Physical loss (to land or freshwater habitat)
Offshore wind: Operation and maintenance (if relevant see also Cables),Physical change (to another seabed type)
Offshore wind: Operation and maintenance (if relevant see also Cables),Physical change (to another sediment type)
Offshore wind: Operation and maintenance (if relevant see also Cables),Litter
Offshore wind: Operation and maintenance (if relevant see also Cables),Underwater noise changes
Offshore wind: Operation and maintenance (if relevant see also Cables),Introduction of light
Offshore wind: Operation and maintenance (if relevant see also Cables),Barrier to species movement
Offshore wind: Operation and maintenance (if relevant see also Cables),"Collision ABOVE water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Offshore wind: Operation and maintenance (if relevant see also Cables),"Collision BELOW water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Offshore wind: Decommissioning (if relevant see also Cables),Litter
Offshore wind: Operation and maintenance (if relevant see also Cables),Above water noise
Offshore wind: Operation and maintenance (if relevant see also Cables),Vibration
Offshore wind: Operation and maintenance (if relevant see also Cables),Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Offshore wind: Operation and maintenance (if relevant see also Cables),Hydrocarbon & PAH contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Offshore wind: Operation and maintenance (if relevant see also Cables),"Synthetic compound contamination (incl. pesticides, antifoulants, pharmaceuticals).  Includes those priority substances listed in Annex II of Directive 2008/105/EC."
Offshore wind: Decommissioning (if relevant see also Cables),Introduction or spread of invasive non-indigenous species (INIS)
Offshore wind: Decommissioning (if relevant see also Cables),Habitat structure changes - removal of substratum (extraction)
Offshore wind: Decommissioning (if relevant see also Cables),"Penetration and/or disturbance of the substrate below the surface of the seabed, including abrasion"
Offshore wind: Decommissioning (if relevant see also Cables),Changes in suspended solids (water clarity)
Offshore wind: Decommissioning (if relevant see also Cables),Smothering and siltation rate changes (Light)
Offshore wind: Decommissioning (if relevant see also Cables),Abrasion/disturbance of the substrate on the surface of the seabed
Offshore wind: Decommissioning (if relevant see also Cables),"Water flow (tidal current) changes, including sediment transport considerations"
Offshore wind: Decommissioning (if relevant see also Cables),Physical change (to another seabed type)
Offshore wind: Decommissioning (if relevant see also Cables),Underwater noise changes
Offshore wind: Decommissioning (if relevant see also Cables),Introduction of light
Offshore wind: Decommissioning (if relevant see also Cables),Barrier to species movement
Offshore wind: Decommissioning (if relevant see also Cables),"Collision ABOVE water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Offshore wind: Decommissioning (if relevant see also Cables),"Collision BELOW water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Offshore wind: Decommissioning (if relevant see also Cables),Above water noise
Offshore wind: Decommissioning (if relevant see also Cables),Vibration
Offshore wind: Decommissioning (if relevant see also Cables),Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Offshore wind: Decommissioning (if relevant see also Cables),Hydrocarbon & PAH contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Offshore wind: Decommissioning (if relevant see also Cables),"Synthetic compound contamination (incl. pesticides, antifoulants, pharmaceuticals).  Includes those priority substances listed in Annex II of Directive 2008/105/EC."
Offshore wind: Decommissioning (if relevant see also Cables),"Introduction of other substances (solid, liquid or gas)"
Finfish aquaculture,Changes in suspended solids (water clarity)
Finfish aquaculture,Smothering and siltation rate changes (Heavy)
Finfish aquaculture,Smothering and siltation rate changes (Light)
Finfish aquaculture,Visual disturbance
Finfish aquaculture,Genetic modification & translocation of indigenous species
Finfish aquaculture,Introduction or spread of invasive non-indigenous species (INIS)
Finfish aquaculture,Introduction of microbial pathogens
Finfish aquaculture,Removal of target species
Finfish aquaculture,Removal of non-target species
Finfish aquaculture,"Penetration and/or disturbance of the substrate below the surface of the seabed, including abrasion"
Finfish aquaculture,Abrasion/disturbance of the substrate on the surface of the seabed
Finfish aquaculture,"Water flow (tidal current) changes, including sediment transport considerations"
Finfish aquaculture,Wave exposure changes
Finfish aquaculture,Physical loss (to land or freshwater habitat)
Finfish aquaculture,Physical change (to another seabed type)
Finfish aquaculture,Physical change (to another sediment type)
Finfish aquaculture,Litter
Finfish aquaculture,Underwater noise changes
Finfish aquaculture,Introduction of light
Finfish aquaculture,Barrier to species movement
Finfish aquaculture,"Collision ABOVE water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Finfish aquaculture,"Collision BELOW water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Finfish aquaculture,Above water noise
Finfish aquaculture,Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Finfish aquaculture,Hydrocarbon & PAH contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Finfish aquaculture,"Synthetic compound contamination (incl. pesticides, antifoulants, pharmaceuticals).  Includes those priority substances listed in Annex II of Directive 2008/105/EC."
Finfish aquaculture,Nutrient enrichment
Finfish aquaculture,Organic enrichment
Finfish aquaculture,Deoxygenation
